,loss,Focus_Label_loss,StigX_Label_loss,StigY_Label_loss,Focus_Label_categorical_crossentropy,Focus_Label_categorical_accuracy,Focus_Label_mean_squared_error,StigX_Label_categorical_crossentropy,StigX_Label_categorical_accuracy,StigX_Label_mean_squared_error,StigY_Label_categorical_crossentropy,StigY_Label_categorical_accuracy,StigY_Label_mean_squared_error,val_loss,val_Focus_Label_loss,val_StigX_Label_loss,val_StigY_Label_loss,val_Focus_Label_categorical_crossentropy,val_Focus_Label_categorical_accuracy,val_Focus_Label_mean_squared_error,val_StigX_Label_categorical_crossentropy,val_StigX_Label_categorical_accuracy,val_StigX_Label_mean_squared_error,val_StigY_Label_categorical_crossentropy,val_StigY_Label_categorical_accuracy,val_StigY_Label_mean_squared_error,lr
0,10.631587028503418,3.4121081829071045,3.3711047172546387,3.848374366760254,3.4121081829071045,0.395061731338501,0.7082027196884155,3.3711047172546387,0.5555555820465088,0.704763650894165,3.848374366760254,0.4197530746459961,0.744723916053772,7.532961845397949,2.5116162300109863,2.5059964656829834,2.515349864959717,2.5116162300109863,0.0,0.6299153566360474,2.5059964656829834,0.0,0.6285878419876099,2.515349864959717,0.0,0.6304162740707397,0.001
1,9.902656555175781,3.3028926849365234,3.288684129714966,3.311079263687134,3.3028926849365234,0.37037035822868347,0.7141032218933105,3.288684129714966,0.3333333432674408,0.714810848236084,3.311079263687134,0.23456789553165436,0.7149150371551514,7.444911956787109,2.49023699760437,2.4657320976257324,2.488943338394165,2.49023699760437,0.5,0.6249913573265076,2.4657320976257324,0.5,0.6192361116409302,2.488943338394165,0.0,0.6245251297950745,0.001
2,9.62157154083252,3.2249104976654053,3.2374892234802246,3.1591718196868896,3.2249104976654053,0.40740740299224854,0.7079118490219116,3.2374892234802246,0.3580246865749359,0.706910252571106,3.1591718196868896,0.5308641791343689,0.6900247931480408,7.437502861022949,2.471595287322998,2.4711978435516357,2.4947097301483154,2.471595287322998,0.5,0.6203944087028503,2.4711978435516357,0.5,0.6204501390457153,2.4947097301483154,0.5,0.625927746295929,0.001
3,9.405311584472656,3.124783515930176,3.147199869155884,3.1333279609680176,3.124783515930176,0.43209877610206604,0.6914881467819214,3.147199869155884,0.395061731338501,0.6982571482658386,3.1333279609680176,0.5061728358268738,0.6994240283966064,7.367860317230225,2.4527926445007324,2.447960615158081,2.4671072959899902,2.4527926445007324,0.5,0.615913450717926,2.447960615158081,0.5,0.6145222783088684,2.4671072959899902,0.5,0.6193490028381348,0.001
4,9.29843521118164,3.090308666229248,3.12082576751709,3.0872995853424072,3.090308666229248,0.43209877610206604,0.6889354586601257,3.12082576751709,0.45679011940956116,0.6923047304153442,3.0872995853424072,0.5925925970077515,0.6915746331214905,7.289374351501465,2.4367809295654297,2.4228932857513428,2.429699659347534,2.4367809295654297,0.5,0.6118937730789185,2.4228932857513428,0.5,0.6082879900932312,2.429699659347534,0.5,0.6109567880630493,0.001
5,9.221419334411621,3.082927942276001,3.0930211544036865,3.0454695224761963,3.082927942276001,0.48148149251937866,0.6878480911254883,3.0930211544036865,0.5185185074806213,0.6867902278900146,3.0454695224761963,0.5185185074806213,0.6816754341125488,7.218087673187256,2.4120686054229736,2.3967437744140625,2.409276008605957,2.4120686054229736,0.5,0.6052771210670471,2.3967437744140625,0.5,0.6018246412277222,2.409276008605957,0.4000000059604645,0.6065442562103271,0.001
6,9.246133804321289,3.082650661468506,3.048814058303833,3.1146695613861084,3.082650661468506,0.43209877610206604,0.6869710087776184,3.048814058303833,0.5185185074806213,0.6779987812042236,3.1146695613861084,0.3333333432674408,0.6960403323173523,7.180367946624756,2.389758348464966,2.3772995471954346,2.4133105278015137,2.389758348464966,0.5,0.5995441675186157,2.3772995471954346,0.5,0.5971408486366272,2.4133105278015137,0.30000001192092896,0.6077395081520081,0.001
7,9.222198486328125,3.0511231422424316,3.0976552963256836,3.0734188556671143,3.0511231422424316,0.43209877610206604,0.6751952171325684,3.0976552963256836,0.5432098507881165,0.6879695653915405,3.0734188556671143,0.5555555820465088,0.6866644620895386,7.170627593994141,2.380885601043701,2.3729662895202637,2.416775941848755,2.380885601043701,0.5,0.5978847742080688,2.3729662895202637,0.5,0.5964231491088867,2.416775941848755,0.20000000298023224,0.6087915301322937,0.001
8,9.15109920501709,3.047919273376465,3.0410492420196533,3.0621299743652344,3.047919273376465,0.6666666865348816,0.6743329167366028,3.0410492420196533,0.5308641791343689,0.678479015827179,3.0621299743652344,0.5432098507881165,0.6861473917961121,7.188301086425781,2.386963129043579,2.3720130920410156,2.4293248653411865,2.386963129043579,0.5,0.5998348593711853,2.3720130920410156,0.5,0.5965133905410767,2.4293248653411865,0.20000000298023224,0.6117762327194214,0.001
9,9.2014799118042,3.097600221633911,3.028301954269409,3.075578212738037,3.097600221633911,0.604938268661499,0.6871764659881592,3.028301954269409,0.5679012537002563,0.6753706932067871,3.075578212738037,0.6790123581886292,0.6862252950668335,7.189334869384766,2.389064311981201,2.3660402297973633,2.434230327606201,2.389064311981201,0.30000001192092896,0.6001661419868469,2.3660402297973633,0.5,0.5949522256851196,2.434230327606201,0.4000000059604645,0.6129711270332336,0.001
